appid,name,positive,negative,price,languages,genre,tags
2103180,Ignite,0,0,,,,[]
2102970,Escape,0,0,,,,[]
2100090,Dodge,7,0,189,English,"Action, Casual, Indie","{'Action': 71, 'Casual': 65, 'Indie': 59, 'Arcade': 42, 'Score Attack': 36, 'Runner': 30, 'Bullet Hell': 28, 'Top-Down': 26, 'Pixel Graphics': 24, 'Cartoony': 22, 'Tactical': 20, 'Quick-Time Events': 18, 'Singleplayer': 16, 'Robots': 14}"
2114680,Science Girls,0,0,199,English,"Casual, Indie",[]
1968290,Forge,0,0,,,,[]
1989070,Synergy,0,0,,,,[]
2079960,Light,6,1,199,"English, Simplified Chinese","Adventure, Indie","{'Adventure': 180, 'War': 153, 'Puzzle': 151, 'Story Rich': 144, '2D': 139, 'Noir': 128, 'Physics': 122, 'Singleplayer': 115, 'Side Scroller': 107, 'Puzzle-Platformer': 97, 'Horror': 95, 'Satire': 82, 'Capitalism': 69, 'Dark': 56, '2D Platformer': 41, 'Drama': 27, 'Strategy': 24, 'Indie': 21}"
2079230,Resonance,0,0,,,,[]
2092070,Escape,0,0,,,,[]
2060540,Castle,0,0,299,"English, Simplified Chinese, Japanese","Casual, Indie",[]
2058660,Maelstrom,3,1,499,"English, Korean, Japanese, Simplified Chinese","Action, Adventure, Indie","{'Metroidvania': 50, 'Action': 49, 'Adventure': 47, '2D': 45, '2D Platformer': 41, 'Pixel Graphics': 38, 'Fantasy': 35, 'Action-Adventure': 25, 'Platformer': 24, 'Indie': 21, 'Controller': 21, 'Combat': 19, 'Singleplayer': 18, 'Female Protagonist': 15}"
1998840,Arcadia,1,0,299,English,Action,"{'Top-Down Shooter': 73, 'Action': 67, 'Retro': 45, 'Pixel Graphics': 42, 'Arcade': 39, 'Shooter': 33, '2D': 31, 'Top-Down': 29, 'Sci-fi': 27, 'Space': 25, 'Score Attack': 23, 'Aliens': 21, 'Combat': 19, 'Singleplayer': 17, 'Old School': 15, 'Classic': 10}"
2324660,Cart Life,0,0,,,,[]
2311240,Loom,0,0,,,,[]
2361140,Terminal Velocity,0,1,2999,English,"Casual, Racing","{'Casual': 64, 'Racing': 58, 'e-sports': 35, '3D Platformer': 32, '3D': 29, '3D Vision': 23, 'Score Attack': 21, 'Singleplayer': 19}"
2288950,Ace of Spades,0,0,,,,[]
2382600,Nomad,0,0,,,,[]
2368300,Warside,0,0,,,,[]
